provider,provider_hotel_id,name,address,city,country,country_code,latitude,longitude,stars
paximum,248900,all seasons Metz Centre Gare,23 Avenue Foch 57000 Metz,Metz,France,FR,49.11142,6.176539,3
webbeds,1090248,ibis Styles Metz Centre Gare,23 Avenue Foch ;,METZ,Франция,FR,49.11132,6.176425,3
dida,57414,ibis Styles Metz Centre Gare,23 Avenue Foch,Metz,France,FR,49.11134,6.1765,3
tripcom,8990150,Göbels Landhotel,Briloner Str. 48,Виллинген,Germany,DE,51.295181,8.607294,4
paximum,146386,Göbel's Landhotel,Briloner Straße 48 34508 Willingen,Willingen,Germany,DE,51.29514,8.607379,4
expedia,101523041,Pickalbatros Laguna Club Resort Sharm El Sheikh,"Nabq bay, Sharm El Sheikh",Sharm El Sheikh,Egypt,EG,28.042744,34.428632,5
tripcom,116023266,Pickalbatros Laguna Club Resort Sharm El Sheikh,Nabq bay,Qesm Sharm Ash Sheikh,Egypt,EG,28.042746,34.428646,5
paximum,311074,Laguna Vista Garden Resort,Nabq Bay Sharm El Sheikh South Sinai,Nabq,Egypt,EG,28.04257,34.4316,5
webbeds,5430925,Pickalbatros Laguna Club Resort Sharm El Sheikh,"Nabq Bay Sharm El Sheikh, South Sinai, Egypt",SHARM EL SHEIKH,EGYPT,EG,28.042746,34.428646,5
dida,2038721,Pickalbatros Laguna Club Resort Sharm El Sheikh,"Nabq bay, Sharm El Sheikh",Sharm el Sheikh (and vicinity),Egypt,EG,28.042744,34.428632,5
expedia,3525689,Hotel My Place,Hauptstrasse 8,Lautzenhausen,Germany,DE,49.93782,7.274852,
paximum,157142,My Place airport business & conference,Hauptstraße 8 Flughafen Frankfurt Hahn 55483 Lautzenhausen,Lautzenhausen,Germany,DE,49.93815,7.274923,4
dida,327547,Hotel My Place,Hauptstrasse 8,Lautzenhausen,Germany,DE,49.93782,7.274852,3
expedia,77962835,Bwindi Safari Lodge,Bwindi Impenetrable Forest,Nkuringo,Uganda,UG,-1.088437,29.635105,2
expedia,15539316,Casa Solares,Via Casello Mascaro,Corigliano-Rossano,Italy,IT,39.610297,16.709486,
expedia,4039869,Maria Farinha by Surf Inn,"Calle Louro Amarelo,240, Conchas do Mar II",Itacaré,Brazil,BR,-14.278844,-38.988915,2.5
dida,296765,Maria Farinha by Surf Inn,"Calle Louro Amarelo,240, Conchas do Mar II",Ilheus-Itacare (and vicinity),Brazil,BR,-14.278844,-38.988915,2.5
expedia,78445947,HOTEL DOUKISSA,PAROIKIA,Paros,Greece,GR,37.08605,25.14962,
tripcom,9211067,Doukissa Hotel - Parikia Town Centre,Epar.Od. Parikias-Marpissas,Парос,Greece,GR,37.084732,25.153354,2
paximum,262796,Doukissa,Parikia Paros 84400,Parikia,Greece,GR,37.08464,25.15349,2
dida,1625071,HOTEL DOUKISSA,PAROIKIA,Paros,Greece,GR,37.08605,25.14962,2
expedia,94656014,The Cottage Guest House,71 Birchanger Ln,Bishop's Stortford,Britain (UK),GB,51.88632,0.186844,3
paximum,350295,The Cottage Guest House,71 Birchanger Lane Birchanger Bishop's Stortford Essex CM23 5QA,Bishop's Stortford,United Kingdom,GB,51.88739,0.1863013,
dida,1371893,The Cottage Guest House,71 Birchanger Ln,Bishop's Stortford,Great Britain,GB,51.88632,0.186844,3
expedia,7142,Red Lion Hotel & Conference Center Ellensburg,1700 Canyon Rd,Ellensburg,United States,US,46.975906,-120.54211,2.5
tripcom,2925951,Red Lion Hotel & Conference Center Ellensburg,1700 Canyon Rd,Элленсбург,United States,US,46.97628,-120.541315,2
paximum,445191,Quality Inn & Conference Center,1700 Canyon Road Ellensburg WA 98926,Ellensburg,USA,US,46.97594,-120.542,2
webbeds,756165,Red Lion Hotel & Conference Center Ellensburg,1700 Canyon Road,ELLENSBURG - WA,UNITED STATES OF AMERICA,US,46.97591,-120.541992,3
dida,90111,Red Lion Hotel & Conference Center Ellensburg,1700 Canyon Rd,Ellensburg (and vicinity),Usa,US,46.975906,-120.54211,2.5
expedia,11610010,Atticoromantica,Via Capitan Bavastro 136,Rome,Italy,IT,41.869077,12.493721,
dida,171985,Atticoromantica,Via Capitan Bavastro 136,Rome (and vicinity),Italy,IT,41.869077,12.493721,2
expedia,18983139,Chez Anna B&B,Via Alessandro Scarlatti 209G,Naples,Italy,IT,40.843505,14.227032,
dida,1631153,Chez Anna B&B,Via Alessandro Scarlatti 209G,Vomero,Italy,IT,40.843505,14.227032,
expedia,1065315,Palacio de Santa Inés hotel,Cuesta Santa Ines 9,Granada,Spain,ES,37.17822,-3.593789,3
tripcom,3483820,Palacio de Santa Inés,"Cta. de Sta. Inés, 9",Гранада,Spain,ES,37.178326,-3.593907,3
paximum,229499,Domus Selecta Palacio De Santa Ines,C/ Cuesta de Santa Ines 9 18010 Granada Andalucia,Granada,Spain,ES,37.17827,-3.593841,3.5
webbeds,1593348,HOTEL PALACIO DE SANTA INES,"Cuesta De Santa Ines, 9",GRANADA,SPAIN,ES,37.178398,-3.5939,3
dida,186212,Palacio de Santa Inés hotel,Cuesta Santa Ines 9,Granada,Spain,ES,37.17822,-3.593789,3
tripcom,2492158,Longqiang International Apartment,"Room 814, 8th Floor, West Tower, Zongheng Plaza, No. 456 Xingang Middle Road",Гуанчжоу,China,CN,23.101523,113.33696,2
dida,549505,Longqiang International Apartment,"Room 814, 8th Floor, West Tower, Zongheng Plaza, No. 456 Xingang Middle Road",Guangzhou (and vicinity),China,CN,23.095821,113.330395,2
expedia,8739414,Indi Villas - The Ambika,Jl. Dewi Madri / Bali Deli No. 10X,Seminyak,Indonesia,ID,-8.685553,115.168626,4
expedia,1381332,The Roseate Edinburgh,"4 West Coates, Haymarket",Edinburgh,Britain (UK),GB,55.945711,-3.228796,5
tripcom,2088829,The Roseate Edinburgh,"The Roseate, 4 W Coates",Эдинбург,United Kingdom,GB,55.945866,-3.229134,5
paximum,339286,Dunstane City,5 Hampton Terrace Edinburgh EH12 5JD,Edinburgh,United Kingdom,GB,55.9455,-3.228747,3
webbeds,577915,The Roseate Edinburgh,4 West Coates,EDINBURGH,UNITED KINGDOM,GB,55.945744,-3.228891,5
dida,21631,The Roseate Edinburgh,"4 West Coates, Haymarket",Edinburgh (and vicinity),Great Britain,GB,55.945711,-3.228796,5
expedia,1177661,The Laxmi Niwas Palace,Dr. Karni Singhji Road,Bikaner,India,IN,28.040087,73.33105,4
webbeds,41874,LAXMI NIWAS PALACE,"Dr. Karni Singhji Road, Lalgarh Palace,",BIKANER,INDIA,IN,28.040142,73.3312,4
dida,106086,The Laxmi Niwas Palace,Dr. Karni Singhji Road,Bikaner (and vicinity),India,IN,28.040087,73.33105,4
expedia,13375082,Le Kleber,12 rue Kleber,Montreuil,France,FR,48.857087,2.436401,2
dida,260385,Le Kleber,12 rue Kleber,Paris (and vicinity),France,FR,48.857087,2.436401,2
expedia,127513813,Castlemead,"Castlemead, manorbier,",Tenby,Britain (UK),GB,51.645612,-4.796834,2.5
